movie_id,url,title,runtime,release_date,release_country,genres,user_score,overview,director,writer,status,original_language,budget,revenue
1077634,https://www.themoviedb.org/movie/1077634-tierra-en-llamas,Tierra en llamas,99.0,2021-06-15,US,"Drama, Action, Crime",2.0,"Just when everyone thought the nightmare was over, a new menace strikes the city in a savage and bloody manner.",Marcos Almada,Marcos Almada,Released,Spanish; Castilian,,
223340,https://www.themoviedb.org/movie/223340,The Perfect Wife,94.0,2007-12-23,RU,Comedy,8.0,"Valentine's day can fulfill our dreams, and then the perfect woman will appear in front of a man in the form of an unexpected trio of Housewives, sex bombs and a business lady, and a modest Secretary will forever win the heart of the notorious don Juan. All the characters of the film suddenly find themselves in a modern fairy tale and get a unique chance to see the world in a new way — through the eyes of lovers…",Vladimir Yankovsky,,Released,Russian,,
402578,https://www.themoviedb.org/movie/402578-kumes,The Coop,86.0,2015-04-16,TR,Drama,5.0,"In a Turkish mountain village in the 1950s, Saniye develops fatal tuberculosis and suggests her husband take another wife for the good of the family. Six months later she is mysteriously cured and returns to her family's home—and her husband's new wife.",Ufuk Bayraktar,Ufuk Bayraktar,Released,Turkish,,
1426297,https://www.themoviedb.org/movie/1426297-play-dead,Play Dead,72.0,2025-02-08,US,Horror,6.2,"A woman wakes up injured in a basement surrounded by corpses. To survive, she pretends to be dead while a grotesque ritual unfolds in the house above.",Carlos Goitia,"Camilo Zaffora, Gonzalo Mellid",Released,English,,
1289404,https://www.themoviedb.org/movie/1289404-jylkychy-chymchyk,The Mountain Wagtail,141.0,2023-12-15,KG,Drama,0.0,"Young Altyn eagerly leaves pastoral life behind for the modern comforts of the capital, but soon finds a corrupted society clashing with the values of her ancestors when confronted with an unexpected pregnancy. Mine development, melting glaciers and the loss of tradition are prominent symptoms of the current transformation of Kyrgyzstan, a country not often represented on the big screen.",Begaly Nargozu,Begaly Nargozu,Released,Kirghiz; Kyrgyz,,
559563,https://www.themoviedb.org/movie/559563,Teenage Little Sister,101.0,2018-06-13,KR,Romance,6.2,"When a junior in college moves into his aunt's house, temptation is almost too much with all of the women living there. But feelings grow between them.",Lee Sang-soo,,Released,Korean,,
1468688,https://www.themoviedb.org/movie/1468688-a-una-isla-de-ti,An Island Away From You,102.0,2026-04-10,ES,"Comedy, Romance",6.1,"A romantic comedy set in the breathtaking Canary Islands. After being left at the altar, uptight chef Harry is convinced by his best friend to escape to her homeland, Gran Canaria. There, amid stunning beaches, vibrant culture, and delicious cuisine, Harry rediscovers joy—and unexpectedly falls in love with his best friend's father. Woven with humor, heart, and sun-soaked adventures, the film is a celebration of second chances and the power of unexpected love.",Alexis Morante,"Alexis Morante, Fernando Pérez, Paula López Cuervo",Released,Spanish; Castilian,,
10466,https://www.themoviedb.org/movie/10466-the-money-pit,The Money Pit,91.0,1986-03-26,US,"Comedy, Romance",6.5,"After being evicted from their Manhattan apartment, a couple buy what looks like the home of their dreams—only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything—including the kitchen sink—disappears into the Money Pit.",Richard Benjamin,David Giler,Released,English,10000000.0,54999651.0
280245,https://www.themoviedb.org/movie/280245,Pie,16.0,2012-01-01,UA,Comedy,0.0,"In a provincial Ukrainian town everyone knows each other by name and live as one big family. Granny Zina bakes pies for local youngsters… she sells them drugs as well. Granny Zina is protected local criminal elite which is a police. When the criminal boss comes to pick up the interest, Granny Zina thoughtfully offers him a dinner. He is her own son…",Yuriy Kovalyov,Hanna Habarska,Released,Ukrainian,,
971563,https://www.themoviedb.org/movie/971563,Basta. Supergame,102.0,2022-05-24,RU,Documentary,0.0,"How does Basta approach work and creativity, where does he get inspiration for musical material? This and many other things are told by friends, colleagues, relatives and friends of the performer - all those who have known Vasily well for many years.",Azat Grigoryan,,Released,Russian,,
8390,https://www.themoviedb.org/movie/8390-definitely-maybe,"Definitely, Maybe",112.0,2008-02-14,US,"Comedy, Romance",6.9,"When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future.",Adam Brooks,Adam Brooks,Released,English,,55447968.0
1578285,https://www.themoviedb.org/movie/1578285-emo,Emo,7.0,2025-11-10,US,Romance,0.0,"Two weeks after a breakup, a man reinvents himself to impress a new woman—until his blunt roommate exposes the truth, forcing him to confront who he really is.",Mariano Flores,Toon De Melker,Released,English,,
12309,https://www.themoviedb.org/movie/12309-bachelor-party,Bachelor Party,105.0,1984-06-29,US,Comedy,6.3,"On the eve of his wedding to his longtime girlfriend, unassuming nice guy Rick is dragged out for a night of debauchery by his friends.",Neal Israel,"Neal Israel, Pat Proft",Released,English,6000000.0,38435947.0
35030,https://www.themoviedb.org/movie/35030-la-joven,The Young One,95.0,1961-08-04,MX,Drama,7.0,"A jazz musician seeks refuge from a lynch mob on a remote island, where he meets a hostile game warden and the young object of his attentions.",Luis Buñuel,"Luis Buñuel, Hugo Butler",Released,English,,
523139,https://www.themoviedb.org/movie/523139-in-the-tall-grass,In the Tall Grass,101.0,2019-10-04,KR,Horror,5.6,"After hearing a child screaming for help from the green depths of a vast field of tall grass, Becky, a pregnant woman, and Cal, her brother, park their car near a mysterious abandoned church and enter the field, discovering that they are not alone and, for some reason, they are unable to escape a completely inextricable vegetable labyrinth.",Vincenzo Natali,"Vincenzo Natali, Joe Hill, Stephen King",Released,English,,
702,https://www.themoviedb.org/movie/702-a-streetcar-named-desire,A Streetcar Named Desire,122.0,1957-04-19,KR,"Drama, Thriller",7.6,"A disturbed, aging Southern belle moves in with her sister for solace — but being face-to-face with her brutish brother-in-law accelerates her downward spiral.",Elia Kazan,"Oscar Saul, Tennessee Williams",Released,English,1800000.0,8000000.0
1036860,https://www.themoviedb.org/movie/1036860-j-k,JK Slayer,60.0,2012-04-11,JP,"Action, Adventure",10.0,"Mikoto was once a warrior God who rebelled against the Lord of Hell. He banished Mikoto, inserting her soul into the body of a high school student, condemning her to live among humans exterminating demons.",Kanzo Matsuura,,Released,Japanese,,
327511,https://www.themoviedb.org/movie/327511-el-angel-del-acordeon,El ángel del acordeón,,2008-07-11,CO,"Family, Music",4.8,We don't have an overview translated in English. Help us expand our database by adding one.,María Camila Lizarazo,"María Camila Lizarazo, Ketty María Cuello",Released,Spanish; Castilian,,
2085,https://www.themoviedb.org/movie/2085-romeo-must-die,Romeo Must Die,115.0,2000-04-29,KR,"Action, Crime, Thriller",6.3,"Two warring gang families (one African-American, the other Chinese) maneuver for bragging rights to the Oakland, California docks. Hang Sing and Trish O'Day uncover a trail of deceit that leaves most of the warring factions dead... or worse!",Andrzej Bartkowiak,"John Jarrell, Eric Bernt",Released,English,25000000.0,91036760.0
7978,https://www.themoviedb.org/movie/7978-the-wolfman,The Wolfman,103.0,2010-02-11,KR,Horror,5.9,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",Joe Johnston,"Andrew Kevin Walker, David Self",Released,English,150000000.0,140700000.0
1582829,https://www.themoviedb.org/movie/1582829-filme-febril,Filme Febril,,2025-11-14,BR,"Comedy, Drama",0.0,"Two young film enthusiasts from downtown São Paulo are doing a film rehearsal and, for the final scene, inspired by ""The Man Who Left His Will on Film,"" they want to film a projection onto a woman's body.",João Victor Mingrone,João Victor Mingrone,Released,Portuguese,330.0,
852194,https://www.themoviedb.org/movie/852194-zeher,Zeher,,2021-07-16,IN,,0.0,We don't have an overview translated in English. Help us expand our database by adding one.,Tanveer Hashmi,,Released,Hindi,,
359169,https://www.themoviedb.org/movie/359169,Underground Fragrance,75.0,2016-01-06,FR,Drama,5.3,The lives of three people entwine in Beijing's Underground City.,Peng Fei,"Peng Fei, Isabelle Mayor",Released,Chinese,,
1453957,https://www.themoviedb.org/movie/1453957-vadasztarsak,Vadásztársak,,2018-02-01,HU,Documentary,0.0,We don't have an overview translated in English. Help us expand our database by adding one.,"Dávid Géczy, Dániel Tiszeker",,Released,Hungarian,,
323373,https://www.themoviedb.org/movie/323373-deathgasm,Deathgasm,86.0,2015-10-02,US,"Horror, Comedy",6.2,Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.,Jason Lei Howden,Jason Lei Howden,Released,English,,14685.0
1355716,https://www.themoviedb.org/movie/1355716-nino-recuerda,"Niño, recuerda",17.0,2023-12-22,ES,,0.0,"Salva Expósito, an orphaned painter, decides to create his next masterpiece unaware that the woman depicted in it will be the trigger for an existential crisis linked to his past. Immersed in an artistic block, Salva will relive the memories of a tumultuous and hazy past, while the painting itself will lead him on a personal quest where unraveling the mysteries surrounding the female figure becomes his primary objective.","Eloi Román, Eva Rodríguez","Eloi Román, Abel Olivares",Released,Spanish; Castilian,5013.0,
